rank_band,score,floor_id,role,label,sources,created_in_code,registered_family,seen_telegram,in_db,tg_count,tg_first_seen,db_fired,db_with_outcome,db_wins,db_g0,db_first_fired,tg_example,notes
UPPER,50.0,RESULT_GALE_OUTCOME,RESULT,RESULT_GALE_OUTCOME,CODE|TELEGRAM,True,False,True,False,9572,2026-04-21 11:57:21,0,0,0,0,,🚨 AGUARDANDO G3 — ÚLTIMA CHANCE / LAST CHANCE 🚨,code:skin_census.py; collapsed_gale_outcome
UPPER,50.0,OPS_PREALERT_3BOLT,OPS,PREALERT 3-bolt,CODE|REGISTERED|TELEGRAM,True,True,True,False,6828,2026-04-30 10:14:34,0,0,0,0,,⚡⚡⚡ SINAL FORMANDO,era 3; code:skin_families.py
UPPER,50.0,RESULT_WIN_SOLO_ELITE,RESULT,RESULT_WIN_SOLO_ELITE,CODE|TELEGRAM_NAMED,True,False,True,False,6054,2026-03-19 23:52:41,0,0,0,0,,✅ WIN — SOLO_ELITE,code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; raw_named→RESULT_WIN_TIER
UPPER,43.14,OPS_LOSS_COOLDOWN,OPS,OPS loss cooldown,CODE|REGISTERED|TELEGRAM,True,True,True,False,4314,2026-03-20 00:34:50,0,0,0,0,,⚠️ LOSS COOLDOWN ACTIVATED,era 2; code:skin_families.py
UPPER,39.45,OPS_SEQ_EMPATES,OPS,OPS sequência empates,CODE|REGISTERED|TELEGRAM,True,True,True,False,3945,2026-04-30 10:37:28,0,0,0,0,,🟡🟡🟡 SEQUÊNCIA DE EMPATES,era 3; code:skin_families.py
UPPER,35.33,ONLINE_BANNER,ONLINE,ONLINE banner,CODE|REGISTERED|TELEGRAM,True,True,True,False,3533,2026-03-17 08:37:17,0,0,0,0,,🟢 BacBo Royal UserBot ONLINE 🟢,era 0; code:skin_census.py; template_hint:skin_census.py; code:skin_families.py; template_hint:skin_families.py; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:hub_engine_route.py; template_hint:timing_presence_catalog.json
UPPER,29.64,FIRE_GOLDEN_SIGNAL_ENTER_NOW,FIRE,FIRE_GOLDEN_SIGNAL_ENTER_NOW,CODE|TELEGRAM_NAMED,True,False,True,False,2964,2026-03-19 22:57:45,0,0,0,0,,🏆 GOLDEN SIGNAL — ENTER NOW 🏆,code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; raw_named→FIRE_GOLDEN_ENTER
UPPER,29.61,RESULT_LOSS_TIER,RESULT,RESULT LOSS — kind,CODE|REGISTERED|TELEGRAM,True,True,True,False,2961,2026-03-19 23:55:31,0,0,0,0,,❌ LOSS — GOLDEN,era 1b; code:skin_census.py; code:skin_families.py; template_hint:skin_families.py; template_hint:TEMPLATE_CENSUS.md; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md
UPPER,24.34,CD_FIRE_TIMER_BRT_EDT_APOSTAR,FIRE,CD_FIRE_TIMER_BRT_EDT_APOSTAR,CODE|TELEGRAM_UNMAPPED,True,False,True,False,2434,2026-04-25 16:23:37,0,0,0,0,,⛔ DO NOT BET — ROUND PASSED ⛔,code:skin_census.py; template_hint:skin_census.py; code:PROFITABLE_CARD_TYPES.md; template_hint:PROFITABLE_CARD_TYPES.md; code:CARD_TEMPLATE_TAXONOMY.md; template_hint:CARD_TEMPLATE_TAXONOMY.md; code:TEMPLATE_CENSUS.md; template_hint:TEMPLATE_CENSUS.md; code:PROFIT_MAX_MODEL.md; template_hint:PROFIT_MAX_MODEL.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:luxury_building_stack.py; template_hint:luxury_building_stack.py; code:dual_lane_router.py; template_hint:dual_lane_router.py; code:luxury_building_stack.json; template_hint:luxury_building_stack.json; unmapped_telegram
UPPER,19.24,RESULT_WIN_GOLDEN,RESULT,RESULT_WIN_GOLDEN,TELEGRAM_NAMED,False,False,True,False,1924,2026-03-19 23:52:41,0,0,0,0,,✅ WIN — GOLDEN,raw_named→RESULT_WIN_TIER
